"행정구역","2023년06월_남_총인구수","2023년06월_남_연령구간인구수","2023년06월_남_0~9세","2023년06월_남_10~19세","2023년06월_남_20~29세","2023년06월_남_30~39세","2023년06월_남_40~49세","2023년06월_남_50~59세","2023년06월_남_60~69세","2023년06월_남_70~79세","2023년06월_남_80~89세","2023년06월_남_90~99세","2023년06월_남_100세 이상","2023년06월_여_총인구수","2023년06월_여_연령구간인구수","2023년06월_여_0~9세","2023년06월_여_10~19세","2023년06월_여_20~29세","2023년06월_여_30~39세","2023년06월_여_40~49세","2023년06월_여_50~59세","2023년06월_여_60~69세","2023년06월_여_70~79세","2023년06월_여_80~89세","2023년06월_여_90~99세","2023년06월_여_100세 이상"
"경상남도 창원시 성산구 상남동(4812353000)","13,489","13,489","892","1,634","1,906","1,802","1,981","2,564","2,111","450","127","21","1","13,432","13,432","825","1,448","1,483","1,615","2,343","3,073","1,855","466","266","56","2"
"경상남도 창원시 성산구 사파동(4812354000)","22,772","22,772","1,544","2,339","3,163","3,698","3,402","4,056","3,463","872","217","17","1","23,265","23,265","1,496","2,176","2,678","3,270","3,751","4,940","3,304","982","546","121","1"
"경상남도 창원시 성산구 가음정동(4812355000)","19,581","19,581","1,571","1,903","2,855","3,079","2,815","3,633","2,865","697","153","9","1","19,184","19,184","1,582","1,802","2,167","2,760","2,989","4,091","2,619","722","373","78","1"
"경상남도 창원시 성산구 성주동(4812356000)","13,415","13,415","1,046","1,481","1,913","1,739","1,913","2,895","1,922","423","75","8","0","12,337","12,337","949","1,287","1,482","1,480","2,013","2,927","1,594","371","188","44","2"
"경상남도 창원시 성산구 웅남동(4812357000)","3,941","3,941","159","346","601","533","590","685","649","257","113","8","0","3,486","3,486","152","310","349","324","527","644","681","298","175","26","0"
"경상남도 창원시 마산합포구 (4812500000)","88,586","88,586","6,059","7,472","9,678","10,249","14,097","14,371","15,270","8,261","2,900","221","8","89,669","89,669","5,680","6,983","7,680","9,261","12,613","14,190","17,052","9,953","5,328","909","20"
"경상남도 창원시 마산합포구 구산면(4812531000)","2,098","2,098","57","74","140","145","263","344","596","346","124","9","0","1,971","1,971","38","61","88","92","122","293","579","378","267","51","2"
"경상남도 창원시 마산합포구 진동면(4812532000)","6,095","6,095","470","529","510","616","1,075","1,021","1,128","563","171","11","1","5,797","5,797","426","506","407","516","893","869","1,125","627","357","69","2"
"경상남도 창원시 마산합포구 진북면(4812533000)","1,718","1,718","20","67","109","99","168","332","505","302","106","9","1","1,524","1,524","26","47","80","53","104","248","422","265","226","53","0"
"경상남도 창원시 마산합포구 진전면(4812534000)","1,870","1,870","21","67","109","94","144","362","544","352","157","19","1","1,881","1,881","15","49","55","63","94","258","499","400","359","89","0"
"경상남도 창원시 마산합포구 현동(4812551000)","6,889","6,889","911","759","484","884","1,488","916","902","420","117","8","0","6,979","6,979","859","720","413","1,024","1,334","898","1,003","460","225","43","0"
